Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Name_2,description_2,timestamp_2,begin_2,end_2,altitudeMode_2,tessellate_2,extrude_2,visibility_2,drawOrder_2,icon_2
"769.4",769.4<BR>ECID=0d7eea8a-14f4-4ece-a107-e85046bd77ee<BR>ID=0d7eea8a-14f4-4ece-a107-e85046bd77ee<BR>LABEL=UNIT:769.4||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=769.4<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"770",770<BR>ECID=a15746bb-7cc0-49e7-9819-74faca62c37e<BR>ID=a15746bb-7cc0-49e7-9819-74faca62c37e<BR>LABEL=UNIT:770||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=770<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"771",771<BR>ECID=16e27706-a28d-4eea-b2f6-52f271ab7edc<BR>ID=16e27706-a28d-4eea-b2f6-52f271ab7edc<BR>LABEL=UNIT:771||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=771<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"772",772<BR>ECID=c4f39f13-2c81-4d6c-af34-6a44ee7bfc19<BR>ID=c4f39f13-2c81-4d6c-af34-6a44ee7bfc19<BR>LABEL=UNIT:772||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=772<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"773",773<BR>ECID=aa457aee-0df1-437a-a952-dadeccc24599<BR>ID=aa457aee-0df1-437a-a952-dadeccc24599<BR>LABEL=UNIT:773||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=773<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"774",774<BR>ECID=ce9e0ec5-27f4-4c05-abdb-b9687a9d6972<BR>ID=ce9e0ec5-27f4-4c05-abdb-b9687a9d6972<BR>LABEL=UNIT:774||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=774<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"775",775<BR>ECID=75b77a00-5935-406f-a43d-d6bef41f7176<BR>ID=75b77a00-5935-406f-a43d-d6bef41f7176<BR>LABEL=UNIT:775||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=775<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"776",776<BR>ECID=ed31d9be-7903-406c-bef9-1b1fd48295d2<BR>ID=ed31d9be-7903-406c-bef9-1b1fd48295d2<BR>LABEL=UNIT:776||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=776<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"777",777<BR>ECID=a534e0d4-d158-4183-ae53-e17ae4777789<BR>ID=a534e0d4-d158-4183-ae53-e17ae4777789<BR>LABEL=UNIT:777||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=777<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"778",778<BR>ECID=845b4353-0cfe-4d6f-9c20-9e67636d3d7a<BR>ID=845b4353-0cfe-4d6f-9c20-9e67636d3d7a<BR>LABEL=UNIT:778||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=778<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
