BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AAB5389	267	Spilomelinae	3	F
BOLD:AAB5648	347	Boletobiinae	11	F
BOLD:AAB5675	173	Scoliopteryginae	10	F
BOLD:AAB5956	80	Ennominae	30	F
BOLD:AAB6342	45	Smerinthinae	1	F
BOLD:AAB6409	754	Dichomeridinae	3	F
BOLD:AAB6694	71	Macroglossinae	31	F
BOLD:AAB6838	30	Spilomelinae	4	F
BOLD:AAB6840	62	Spilomelinae	15	F
BOLD:AAB7420	134	Phycitinae	16	F
BOLD:AAB7505	31	Ennominae	5	F
BOLD:AAB7727	42	Spilomelinae	6	F
BOLD:AAB7802	265	Scoliopteryginae	11	F
BOLD:AAB9246	11	Galleriinae	1	F
BOLD:AAB9605	222	Phycitinae	1	F
BOLD:AAB9934	49	Macroglossinae	3	F
BOLD:AAC0297	71	Spilomelinae	2	F
BOLD:AAC1043	150	Palpita	16	F
BOLD:AAC1143	10	Smerinthinae	1	F
BOLD:AAC1283	41	Aediinae	2	F
BOLD:AAC1478	39	Macroglossinae	1	F
BOLD:AAC1664	117	Aganainae	5	F
BOLD:AAC1744	1938	Cosmopterix	1	F
BOLD:AAC2453	59	Chloephorinae	8	F
BOLD:AAC3315	10	Macroglossinae	1	F
BOLD:AAC3410	84	Plusiinae	1	F
BOLD:AAC4011	44	Hypeninae	2	F
BOLD:AAC4571	52	Sterrhinae	6	F
BOLD:AAC4722	90	Spilomelinae	2	F
BOLD:AAC5089	103	Acontiinae	11	F
BOLD:AAC5136	20	Macroglossinae	1	F
BOLD:AAC5466	139	Spilomelinae	14	F
BOLD:AAC5576	87	Chloephorinae	12	F
BOLD:AAC6479	22	Smerinthinae	1	F
BOLD:AAC6611	44	Boletobiinae	10	F
BOLD:AAC6909	14	Spilomelinae	1	F
BOLD:AAC6999	57	Spilomelinae	1	F
BOLD:AAC7171	12	Smerinthinae	2	F
BOLD:AAC7805	50	Scoliopteryginae	2	F
BOLD:AAC8279	185	Noctuinae	14	F
BOLD:AAC8585	76	Ennominae	4	F
BOLD:AAC8770	14	Aganainae	2	F
BOLD:AAC9089	56	Smerinthinae	6	F
BOLD:AAC9294	2166	Balclutha	2	F
BOLD:AAC9900	84	Arctiinae	5	F
BOLD:AAC9910	19	Sterrhinae	2	F
BOLD:AAD0760	200	Cosmopteriginae	1	F
BOLD:AAD1503	114	Erebinae	2	F
