BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AEY0561	1	Ceratopogonidae	1	T
BOLD:AEY0575	2	Coleoptera	1	T
BOLD:AEY0575	2	Staphylinidae	1	T
BOLD:AEY0622	1	Apidae	1	T
BOLD:AEY0695	1	Cecidomyiidae	1	T
BOLD:AEY0734	1	Chloropidae	1	T
BOLD:AEY0741	1	Tachinidae	1	T
BOLD:AEY0841	6	Hemiptera	4	T
BOLD:AEY0841	6	Tingidae	2	T
BOLD:AEY0993	3	Encyrtidae	3	T
BOLD:AEY1027	1	Collembola	1	T
BOLD:AEY1087	1	Cecidomyiidae	1	T
BOLD:AEY1270	5	Throscidae	5	T
BOLD:AEY1350	2	Crabroninae	2	T
BOLD:AEY1385	1	Cecidomyiidae	1	T
BOLD:AEY1411	1	Chironomidae	1	T
BOLD:AEY1414	1	Tachinidae	1	T
BOLD:AEY1416	1	Muscidae	1	T
BOLD:AEY1593	2	Hymenoptera	1	T
BOLD:AEY1593	2	Scelionidae	1	T
BOLD:AEY1676	2	Cecidomyiidae	1	T
BOLD:AEY1676	2	Cecidomyiinae	1	T
BOLD:AEY1682	1	Rhopalidae	1	T
BOLD:AEY1698	1	Ephydridae	1	T
BOLD:AEY1726	1	Tachyporinae	1	T
BOLD:AEY1762	4	Cecidomyiidae	4	T
BOLD:AEY1774	1	Aderidae	1	T
BOLD:AEY1790	2	Muscidae	2	T
BOLD:AEY2176	1	Sciaridae	1	T
BOLD:AEY2355	1	Prionyx	1	T
BOLD:AEY2505	2	Coleoptera	1	T
BOLD:AEY2505	2	Mycetophagidae	1	T
BOLD:AEY2711	1	Xylocopinae	1	T
BOLD:AEY2728	1	Hymenoptera	1	T
BOLD:AEY2951	1	Trypoxylon	1	T
BOLD:AEY2981	1	Pipunculidae	1	T
BOLD:AEY3017	1	Salticidae	1	T
BOLD:AEY3022	3	Hymenoptera	3	T
BOLD:AEY3059	1	Cassidinae	1	T
BOLD:AEY3098	1	Chrysomelidae	1	T
BOLD:AEY3129	1	Carabidae	1	T
BOLD:AEY3154	1	Tabaninae	1	T
BOLD:AEY3277	4	Bengaliinae	4	T
BOLD:AEY3292	2	Cecidomyiidae	2	T
BOLD:AEY3322	1	Trypoxylon	1	T
BOLD:AEY3383	1	Scelionidae	1	T
BOLD:AEY3391	1	Chironomidae	1	T
BOLD:AEY3658	1	Ceratopogonidae	1	T
BOLD:AEY3784	1	Ichneumonidae	1	T
BOLD:AEY3801	1	Lepidoptera	1	T
BOLD:AEY3905	5	Miridae	5	T
BOLD:AEY3919	1	Culicidae	1	T
BOLD:AEY3983	4	Cecidomyiidae	4	T
BOLD:AEY3989	1	Paramyia	1	T
BOLD:AEY3997	4	Milichiidae	4	T
BOLD:AEY4349	1	Eurytomidae	1	T
BOLD:AEY4375	2	Chelonus	2	T
BOLD:AEY4467	4	Hymenoptera	2	T
BOLD:AEY4467	4	Tiphiidae	2	T
BOLD:AEY4540	1	Pompilidae	1	T
BOLD:AEY4680	1	Cecidomyiidae	1	T
BOLD:AEY4786	12	Cecidomyiidae	12	T
BOLD:AEY4808	1	Cecidomyiidae	1	T
BOLD:AEY4819	11	Phoridae	11	T
BOLD:AEY4837	1	Cicadellidae	1	T
BOLD:AEY4929	3	Cecidomyiidae	3	T
BOLD:AEY4973	1	Bethylidae	1	T
BOLD:AEY4974	1	Cerceris	1	T
BOLD:AEY5211	1	Braconinae	1	T
BOLD:AEY5294	1	Cicadellidae	1	T
BOLD:AEY5381	1	Ceratopogonidae	1	T
BOLD:AEY5429	2	Formicidae	2	T
BOLD:AEY5430	2	Bethylidae	2	T
BOLD:AEY5448	5	Cicadellidae	2	T
BOLD:AEY5448	5	Hemiptera	3	T
BOLD:AEY5531	1	Gryllidae	1	T
BOLD:AEY5561	1	Cecidomyiidae	1	T
BOLD:AEY5563	5	Scelionidae	5	T
BOLD:AEY5590	7	Hemiptera	5	T
BOLD:AEY5590	7	Pyrrhocoridae	2	T
BOLD:AEY5672	1	Halictidae	1	T
BOLD:AEY5690	1	Agromyzidae	1	T
BOLD:AEY5728	1	Platystomatidae	1	T
BOLD:AEY5771	1	Chironomidae	1	T
BOLD:AEY5938	1	Coquillettidia	1	T
BOLD:AEY6129	1	Phoridae	1	T
BOLD:AEY6139	1	Elateridae	1	T
BOLD:AEY6240	1	Tachytes	1	T
BOLD:AEY6366	1	Phoridae	1	T
BOLD:AEY6367	2	Cecidomyiidae	2	T
BOLD:AEY6369	1	Cecidomyiidae	1	T
BOLD:AEY6382	2	Cecidomyiidae	2	T
BOLD:AEY6436	1	Sarcophagidae	1	T
BOLD:AEY6486	5	Phoridae	5	T
BOLD:AEY6514	1	Chrysomelidae	1	T
BOLD:AEY6818	2	Formicidae	2	T
BOLD:AEY6930	4	Aleyrodidae	1	T
BOLD:AEY6930	4	Hemiptera	3	T
BOLD:AEY6964	1	Chrysomelidae	1	T
BOLD:AEY6969	2	Diptera	1	T
BOLD:AEY6969	2	Phlebotominae	1	T
BOLD:AEY6971	4	Cecidomyiidae	1	T
BOLD:AEY6971	4	Diptera	3	T
BOLD:AEY7083	1	Cecidomyiidae	1	T
BOLD:AEY7111	2	Ceratopogonidae	1	T
BOLD:AEY7111	2	Diptera	1	T
BOLD:AEY7180	1	Cecidomyiidae	1	T
BOLD:AEY7231	1	Cecidomyiidae	1	T
BOLD:AEY7251	1	Chloropidae	1	T
BOLD:AEY7279	2	Cecidomyiidae	1	T
BOLD:AEY7279	2	Diptera	1	T
BOLD:AEY7365	1	Scelionidae	1	T
BOLD:AEY7369	1	Scelionidae	1	T
BOLD:AEY7393	2	Mutillidae	2	T
BOLD:AEY7443	1	Vespidae	1	T
BOLD:AEY7480	1	Scelionidae	1	T
BOLD:AEY7618	1	Sturmiopsis	1	T
BOLD:AEY7631	1	Cicadellidae	1	T
BOLD:AEY7634	2	Bethylidae	2	T
BOLD:AEY7647	1	Cecidomyiidae	1	T
BOLD:AEY7684	4	Chrysomelidae	1	T
BOLD:AEY7684	4	Coleoptera	3	T
BOLD:AEY7713	1	Chrysomelidae	1	T
BOLD:AEY7874	1	Diapriinae	1	T
BOLD:AEY7925	2	Chrysididae	2	T
BOLD:AEY8083	1	Phoridae	1	T
BOLD:AEY8123	12	Crabroninae	2	T
BOLD:AEY8123	12	Trypoxylon	10	T
BOLD:AEY8249	2	Pompilidae	2	T
BOLD:AEY8261	1	Tenebrionidae	1	T
BOLD:AEY8290	6	Bethylidae	6	T
BOLD:AEY8294	1	Braconinae	1	T
BOLD:AEY8317	7	Cecidomyiidae	7	T
BOLD:AEY8439	1	Psychodinae	1	T
BOLD:AEY8535	8	Formicidae	7	T
BOLD:AEY8535	8	Hymenoptera	1	T
